frame_number,object_class,confidence_score,x1,y1,x2,y2
263,67,0.3318957984447479,213.24435,1.9261307,568.0,195.0747
264,63,0.6951741576194763,211.97003,2.8699389,567.4111,170.18752
265,63,0.7074834704399109,209.04059,2.7295337,567.00793,177.94739
266,63,0.7034347057342529,205.39998,2.6254485,567.29034,168.32211
266,63,0.25997495651245117,12.784978,0.0,199.79497,185.19557
267,63,0.6175770163536072,202.05873,2.624162,567.1188,175.5988
268,63,0.6429874300956726,198.70699,2.7072432,567.1863,180.97307
269,63,0.6426107883453369,195.18434,2.60565,567.1243,184.76952
269,63,0.33189114928245544,1.0281626,0.23203163,190.03848,187.61513
270,63,0.6121167540550232,189.48347,2.6650324,567.26776,187.74907
271,63,0.5681109428405762,184.9452,2.3746474,566.87463,175.69588
272,63,0.5133439898490906,179.4557,2.960184,566.14246,178.85387
272,28,0.3498309254646301,179.89377,2.2990007,567.6876,203.0199
273,63,0.5089471340179443,172.76462,2.9042819,565.31006,184.13019
273,28,0.4007468521595001,174.09993,2.2642922,567.7507,205.49588
274,63,0.4597961902618408,167.02783,2.790013,564.5843,170.46724
274,28,0.2825092375278473,165.31302,2.296279,567.568,201.47574
275,28,0.4446801245212555,156.98657,2.2951279,568.0,209.6583
275,63,0.37679776549339294,160.1704,3.0514176,566.5583,185.94632
276,28,0.46809959411621094,152.95523,2.3774912,568.0,209.68571
276,63,0.3232515752315521,153.5512,2.2662559,568.0,206.93518
277,28,0.6882842779159546,148.22241,2.8961227,568.0,211.20311
277,63,0.2610180974006653,148.07973,3.6780276,566.94855,207.89494
278,28,0.7850164175033569,144.33261,3.292482,568.0,213.1909
278,63,0.2708185315132141,143.87,4.1586328,566.7689,214.80875
279,28,0.7964949011802673,139.46614,4.6314507,568.0,215.81787
279,63,0.39883989095687866,139.11606,5.2204814,567.41223,218.65973
279,64,0.3934858441352844,0.0070690154,95.95552,135.84875,195.59897
280,28,0.6048888564109802,135.6759,5.461776,568.0,217.28441
280,63,0.40387701988220215,133.60329,6.1923084,567.0616,213.00374
280,64,0.3387065529823303,0.06613998,97.82956,131.76863,196.2861
281,28,0.6578990817070007,129.11327,7.3156385,566.9013,218.36806
281,64,0.38073331117630005,0.012120247,98.834404,127.82482,196.22588
281,63,0.3054310083389282,129.08797,7.0370893,565.12524,200.57632
281,63,0.26972460746765137,0.0,99.4237,127.50448,195.88063
282,28,0.6565038561820984,126.251045,7.27965,567.0608,219.34271
282,64,0.3324688971042633,0.119590946,100.2435,123.08465,195.67778
283,28,0.8033841848373413,118.857376,6.6028123,567.11096,219.64696
283,64,0.5364916920661926,0.116760634,98.44896,117.73905,193.23119
284,28,0.7910881638526917,113.053215,3.897844,567.19244,217.84018
284,64,0.6471415162086487,0.0014219284,97.097565,113.10832,188.78615
284,67,0.29731133580207825,0.41881207,97.03857,112.89487,188.12189
285,28,0.8631051778793335,109.84329,2.7094913,567.38495,215.9833
285,64,0.8188021779060364,0.0017333984,94.622856,109.13707,187.21347
286,64,0.8142249584197998,0.04433708,93.7448,106.50234,184.635
286,28,0.6631052494049072,104.87223,2.309882,562.5871,215.16872
287,64,0.807508111000061,0.08280363,93.493774,103.6615,184.50531
287,28,0.7012499570846558,101.94501,2.1907988,564.4119,215.7022
288,28,0.8194577693939209,100.381645,2.3571305,566.43146,217.52327
288,64,0.7093361616134644,0.10287313,95.640236,102.18615,187.04346
289,64,0.6765599846839905,0.113253206,100.29966,100.73091,188.23079
289,28,0.4762002229690552,99.94954,4.755795,565.6694,221.34045
290,28,0.5456708669662476,100.54588,7.805581,565.4996,225.55617
290,64,0.39780405163764954,0.20424986,106.74385,100.520645,192.40558
291,28,0.5186845064163208,101.33734,13.419049,563.94684,228.66777
291,64,0.4753534495830536,0.14927539,112.26198,99.53404,199.90596
292,64,0.627238392829895,0.2084547,117.92726,99.35433,204.60455
292,28,0.5505033135414124,101.25836,16.736937,564.1197,241.20709
293,28,0.6680560111999512,100.675835,22.50572,566.4971,247.05772
293,64,0.5444056987762451,0.1794609,124.20669,97.06541,210.94684
294,64,0.7011132836341858,0.19143896,129.62987,94.7908,215.99054
294,28,0.658711314201355,100.54166,28.228256,566.67255,253.52274
294,67,0.26581066846847534,0.0,128.77766,94.629974,215.57442
295,64,0.6735555529594421,0.28980932,135.06721,92.19537,219.28546
295,28,0.529841423034668,93.20201,33.38634,565.8643,257.2213
295,67,0.30881136655807495,0.0,134.2877,91.54204,220.10622
296,28,0.7002080082893372,96.35035,37.06691,562.342,266.29385
296,64,0.4579417407512665,0.16345406,137.35931,87.5843,222.93648
296,63,0.34450826048851013,0.13305864,137.48758,87.59057,222.6484
297,28,0.7330254316329956,89.27825,37.63392,560.1009,268.4256
297,63,0.31838661432266235,0.14602527,140.42152,84.36334,224.24596
297,64,0.3178936541080475,0.17522897,140.7767,84.37643,224.20609
298,28,0.7687138319015503,84.64748,36.92837,557.9488,269.22836
298,64,0.4782935082912445,0.1611925,142.57275,79.39716,224.66422
299,28,0.6650371551513672,81.1328,34.571438,555.141,269.3576
299,64,0.5818025469779968,0.1679636,142.91171,76.09487,224.1679
300,28,0.6174067258834839,60.496307,30.709589,551.2873,265.7072
300,64,0.37681928277015686,0.15947942,142.71773,71.19965,223.87463
300,67,0.31169113516807556,0.33134317,142.14934,70.879814,223.58049
301,28,0.5438861846923828,56.33236,27.347311,552.4045,267.72644
302,28,0.7755979895591736,46.044857,22.901443,550.2814,264.43552
302,64,0.4759114682674408,0.030378483,141.37245,55.011635,218.65277
303,28,0.6303876638412476,37.02084,18.326841,546.9666,265.861
303,64,0.6093307733535767,0.0,140.51065,47.60455,215.22026
304,28,0.7275981903076172,10.170823,15.03073,545.09314,266.6016
304,64,0.5417590141296387,0.018061876,139.48552,41.170822,207.53018
305,28,0.5611997842788696,3.5931182,13.195306,546.6356,267.9352
306,28,0.6230517029762268,5.113092,11.973802,550.3012,266.4351
307,28,0.5437617897987366,4.564363,10.570074,552.0501,270.50858
308,28,0.6220242381095886,3.8925626,8.85688,552.71326,272.3489
309,28,0.581811785697937,2.1056457,7.0167155,552.63513,273.32843
310,28,0.4900895655155182,1.3183578,5.3814707,553.3812,273.4603
311,28,0.34814631938934326,0.45079193,4.358143,554.046,272.9859
311,4,0.2587420642375946,11.983037,5.5102296,557.6508,276.97894
312,28,0.3996924161911011,1.3228538,5.907259,553.9709,271.57327
312,4,0.32820868492126465,11.554237,4.6544724,557.8,276.7515
313,4,0.3889126181602478,9.651345,4.908876,558.08984,278.33145
313,28,0.34405699372291565,0.62689435,3.46593,555.77423,275.02298
314,28,0.2624165117740631,1.2553054,6.699368,553.9942,273.01755
315,4,0.3299514949321747,8.815522,7.4865746,557.7938,279.6476
316,4,0.39191561937332153,9.753833,9.129593,557.39014,273.71118
316,28,0.3235664665699005,1.3240455,9.64842,553.8331,275.82047
317,28,0.46812620759010315,1.2697685,13.428827,552.1005,278.469
318,28,0.36696362495422363,0.1856903,15.105402,554.6344,280.97952
318,4,0.27313849329948425,8.773921,15.109086,559.9326,277.62244
319,28,0.35837215185165405,0.0078002927,18.595709,561.5447,283.5869
320,28,0.30545592308044434,0.0,21.33621,565.33466,283.20953
321,28,0.26501765847206116,0.0,22.519716,567.03156,283.85742
322,28,0.3134107291698456,0.0,22.573046,568.0,280.6146
326,4,0.4247225821018219,6.4927144,14.876214,567.0544,276.51282
331,28,0.31389155983924866,1.0003875,15.018136,553.09894,283.25125
